Class,Label,Latitude,Longitude,B02,B03,B04,B08,NDVI,EVI,SAVI,NDWI
Forests and semi-natural areas,3,4951205.0,697535.0,583,493,754,2471,0.5324031007751773,1.6361730512673909,0.7984808556812897,-0.6673414304993027
Urban Areas,1,4951205.0,697545.0,755,789,902,1846,0.3435225618631607,1.4782336360789226,0.5151901036929234,-0.40113851992408345
Urban Areas,1,4951205.0,697555.0,812,900,902,1846,0.3435225618631607,2.018819503849444,0.5151901036929234,-0.34450109249816663
Urban Areas,1,4951205.0,697565.0,767,875,964,1305,0.15028646981048258,0.6373831775700934,0.22538003965631195,-0.19724770642200928
Urban Areas,1,4951205.0,697575.0,930,1003,964,1305,0.15028646981048258,7.413043478260869,0.22538003965631195,-0.13084922010398045
Urban Areas,1,4951205.0,697585.0,905,1021,1011,1444,0.17637474541750808,1.496199032480995,0.26450824679291385,-0.17160243407707215
Urban Areas,1,4951205.0,697595.0,834,895,1011,1444,0.17637474541750808,0.8618630573248408,0.26450824679291385,-0.23471569046600108
Urban Areas,1,4951205.0,697605.0,777,767,893,1978,0.37791710205501994,1.796952633322292,0.5667769458471182,-0.4411657559198382
Urban Areas,1,4951205.0,697615.0,616,559,893,1978,0.37791710205501994,0.9983437615016563,0.5667769458471182,-0.559322033898283
Urban Areas,1,4951205.0,697625.0,550,470,787,2635,0.5400350672121409,1.4290133003402412,0.8099342585829072,-0.6972624798711531
Urban Areas,1,4951205.0,697635.0,416,304,787,2635,0.5400350672121409,1.0901368570080225,0.8099342585829072,-0.7931269139162711
Forests and semi-natural areas,3,4951205.0,697645.0,584,667,1201,2923,0.41755577109601316,0.7486956521739131,0.6262577282094799,-0.6284122562673919
Agricultural Areas,2,4951195.0,697335.0,1111,1960,1774,3235,0.29167498502694567,0.658404686795854,0.43746880926240145,-0.2454282964388788
Agricultural Areas,2,4951195.0,697345.0,999,1360,1594,3094,0.3199658703071604,0.7258298654795315,0.47989762184067397,-0.3893129770992279
Agricultural Areas,2,4951195.0,697355.0,888,1245,1594,3094,0.3199658703071604,0.6251041840306718,0.47989762184067397,-0.42613505415993486
Agricultural Areas,2,4951195.0,697365.0,763,1029,1536,2836,0.29734675205854766,0.5133875681225811,0.44596912521440824,-0.46752910737385595
Agricultural Areas,2,4951195.0,697375.0,846,1122,1536,2836,0.29734675205854766,0.5693763139453398,0.44596912521440824,-0.4330469934310148
Agricultural Areas,2,4951195.0,697385.0,907,1242,1757,3314,0.3070400315519561,0.5517754624707634,0.4605146406388642,-0.4547848990342306
